,Station Name,Station Latitude,Station Longitude,Business Category,Business Name,Rating,Number of Reviews,Address,Contact,Available Bikes,Empty Slots,Number of Bikes
0,W 100 St & Manhattan Ave,40.795,-73.9645,Sardinian,Arco Cafe,4.5,352,886 Amsterdam Ave,(646) 781-9080,5,29,34
1,W 100 St & Manhattan Ave,40.795,-73.9645,Bars,The Calaveras,4.5,231,949 Columbus Ave,(646) 484-6533,5,29,34
2,W 100 St & Manhattan Ave,40.795,-73.9645,Vietnamese,Saiguette,4.5,729,935 Columbus Ave,(212) 866-6888,5,29,34
3,W 100 St & Manhattan Ave,40.795,-73.9645,Comfort Food,Jacob's Pickles,4.0,5403,509 Amsterdam Ave,(212) 470-5566,5,29,34
4,W 100 St & Manhattan Ave,40.795,-73.9645,Burgers,Bareburger - Upper West Side,3.5,393,795 Columbus Ave,(646) 559-2986,5,29,34
5,W 100 St & Manhattan Ave,40.795,-73.9645,French,Amelie,4.5,297,566 Amsterdam Ave,(646) 422-7167,5,29,34
6,W 100 St & Manhattan Ave,40.795,-73.9645,Noodles,The Tang - Upper West Side,4.5,302,920 Amsterdam Ave,(646) 596-7970,5,29,34
7,W 100 St & Manhattan Ave,40.795,-73.9645,Southern,Melba's Restaurant,4.0,1746,300 W 114th St,(212) 864-7777,5,29,34
8,W 100 St & Manhattan Ave,40.795,-73.9645,Breakfast & Brunch,The Grand Feast,5.0,19,854 Amsterdam Ave,(917) 409-0772,5,29,34
9,W 100 St & Manhattan Ave,40.795,-73.9645,Cocktail Bars,Nobody Told Me,4.5,236,951 Amsterdam Ave,(917) 409-0772,5,29,34
10,W 100 St & Manhattan Ave,40.795,-73.9645,Wine Bars,Da Capo,4.5,229,1392 Madison Ave,(646) 707-0684,5,29,34
11,W 100 St & Manhattan Ave,40.795,-73.9645,Bars,e's BAR,4.0,393,511 Amsterdam Ave,(212) 877-0961,5,29,34
12,W 100 St & Manhattan Ave,40.795,-73.9645,Japanese,Sushi W,4.5,168,2673 Broadway,(917) 318-9739,5,29,34
13,W 100 St & Manhattan Ave,40.795,-73.9645,Italian,Osteria 106,4.5,209,53 W 106 St,(646) 833-7614,5,29,34
14,W 100 St & Manhattan Ave,40.795,-73.9645,Vietnamese,Banh,4.5,223,942 Amsterdam Ave,(917) 639-3151,5,29,34
15,W 100 St & Manhattan Ave,40.795,-73.9645,Mexican,Casa Mexicana,4.0,222,894 Amsterdam Ave,(646) 922-8295,5,29,34
16,W 100 St & Manhattan Ave,40.795,-73.9645,Bars,Dagon,4.0,225,2454 Broadway,(212) 873-2466,5,29,34
17,W 100 St & Manhattan Ave,40.795,-73.9645,Chinese,Flor de Mayo,4.0,643,2651 Broadway,(212) 663-5520,5,29,34
18,W 100 St & Manhattan Ave,40.795,-73.9645,American (Traditional),The Ellington,4.5,139,2745 Broadway,(212) 281-3011,5,29,34
19,W 100 St & Manhattan Ave,40.795,-73.9645,Italian,Fumo- Upper West Side,4.0,238,2791 Broadway,(646) 822-2921,5,29,34
20,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Cocktail Bars,Tanner Smiths,4.5,2041,204 W 55th St,(646) 590-2034,2,76,78
21,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Burgers,Carnegie Diner,4.0,472,205 W 57th St,(212) 664-1001,2,76,78
22,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,French,La Grande Boucherie,4.5,2439,145 W 53rd St,(212) 510-7714,2,76,78
23,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Cocktail Bars,Vida Verde,4.5,1574,248 W 55th St,(646) 657-0565,2,76,78
24,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,American (New),Robert,4.0,1043,2 Columbus Cir,(212) 299-7730,2,76,78
25,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Pizza,Angelo's Coal Oven Pizzeria,4.0,1190,117 W 57th St,(212) 333-4333,2,76,78
26,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,American (New),Momofuku Noodle Bar - Uptown,4.0,585,10 Columbus Cir,(212) 333-4333,2,76,78
27,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Italian,Trattoria Dell'Arte,4.0,1196,900 7th Ave,(212) 245-9800,2,76,78
28,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,French,Quality Bistro,4.0,329,120 W 55th St,(212) 433-3330,2,76,78
29,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Greek,Loi Estiatorio,4.5,455,132 W 58th St,(212) 713-0015,2,76,78
30,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Steakhouses,Tuscany Steakhouse,4.5,232,117 W 58th St,(212) 757-8630,2,76,78
31,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Italian,Marea,4.0,2349,240 Central Park S,(212) 582-5100,2,76,78
32,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Szechuan,Blue Willow 夜来湘,4.5,949,40 W 56th St,(212) 213-2299,2,76,78
