,Station Name,Average Rating,Average Reviews,Number of Bikes
0,1 Ave & E 110 St,4.375,345.0,24
1,1 Ave & E 16 St,4.375,1545.35,51
2,1 Ave & E 18 St,4.4,1483.45,49
3,1 Ave & E 30 St,4.35,1066.85,35
4,1 Ave & E 62 St,4.3,713.9,31
5,1 Ave & E 68 St,4.375,890.95,56
6,1 Ave & E 94 St,4.275,512.85,38
7,10 Ave & W 28 St,4.15,590.95,62
8,10 St & 2 Ave,4.275,494.1,18
9,10 St & 5 Ave,4.375,302.2,23
10,10 St & 7 Ave,4.35,318.0,15
11,11 Ave & Prospect Ave,4.25,282.95,19
12,11 Ave & W 27 St,4.175,599.2,41
13,11 Ave & W 41 St,4.3,1077.45,52
14,11 Ave & W 59 St,4.325,1231.25,19
15,12 Ave & W 125 St,4.05,513.4,28
16,12 Ave & W 40 St,4.2,1106.55,67
17,12 St & 4 Ave,4.275,398.45,24
18,14 St & 5 Ave,4.425,272.15,15
19,16th St & 4th Ave,4.35,302.9,29
20,17 St & 5 Ave,4.4,321.35,24
21,18 St & 27 Ave,4.325,523.3,23
22,19 St & 24 Ave,4.4,394.45,22
23,2 Av & 37 St,4.2,136.0,31
24,2 Ave & 32 St,4.175,111.4,27
25,2 Ave & 36 St,4.175,108.15,41
26,2 Ave & E 104 St,4.325,340.7,31
27,2 Ave & E 122 St,4.25,566.0,13
28,2 Ave & E 125 St,4.25,532.2166666666667,28
29,2 Ave & E 29 St,4.275,933.4,54
30,2 Ave & E 31 St,4.375,1105.85,52
31,2 Ave & E 72 St,4.35,824.3,42
32,2 Ave & E 96 St,4.075,462.2,43
33,20 Ave & 38 St,4.175,616.9,28
34,20 Ave & 48 St,4.15,394.45,21
35,21 Ave & Crescent St,4.225,582.2,24
36,21 Ave & Shore Blvd,4.125,327.15,21
37,21 St & 31 Dr,4.25,632.65,19
38,21 St & 36 Ave,4.275,423.7,18
39,21 St & 38 Ave,4.35,322.1,18
40,21 St & 4 Ave,4.375,299.1,18
41,21 St & 43 Ave,4.35,454.55,25
42,21 St & Queens Plaza North,4.35,286.8,34
43,23 Ave & 27 St,4.25,549.95,20
44,23 St & 3 Ave,4.325,219.05,23
45,24 Ave & 26 St,4.275,604.95,18
46,24 Ave & 29 St,4.3,573.8,43
47,24 St & 38 Ave,4.275,362.95,19
48,24 St & 41 Ave,4.308333333333334,283.7,14
49,24 St & 5 Ave,4.325,287.1,18
50,25 Ave & 41 St,4.2,591.6,23
51,27 Ave & 3 St,4.383333333333334,211.68333333333334,19
52,27 Ave & 9 St,4.325,366.6,36
53,27 St & Hunter St,4.25,310.45,28
54,28 Ave & 35 St,4.15,830.4,25
55,28 Ave & 44 St,4.275,668.8,15
56,28 St & 36 Ave,4.275,471.45,29
57,28 St & 41 Ave,4.3,243.9,24
58,29 St & 5 Ave,4.25,250.25,16
59,3 Ave & 17 St,4.375,359.4,19
60,3 Ave & Carroll St,4.325,411.6,17
61,3 Ave & E 100 St,4.3,313.75,26
62,3 Ave & E 112 St,4.425,287.0,21
63,3 Ave & E 163 St,3.875,68.3,26
64,3 Ave & E 169 St,3.775,41.9,18
65,3 Ave & E 170 St,3.55,24.35,17
66,3 Ave & E 172 St,3.575,29.15,18
67,3 Ave & E 174 St,3.075,37.6,32
68,3 Ave & E 62 St,4.175,1173.15,47
69,3 Ave & E 71 St,4.3,996.5,41
70,3 Ave & Franklin Ave,3.875,65.75,18
71,3 Ave & Schermerhorn St,4.275,461.25,32
72,3 St & 3 Ave,4.275,542.25,78
73,3 St & 7 Ave,4.25,364.25,26
74,3 St & Hoyt St,4.35,433.25,50
75,3 St & Prospect Park West,4.3,411.75,29
76,30 Ave & 21 St,4.375,490.8,15
77,30 Ave & 41 St,4.15,731.5,20
78,30 Ave & 47 St,4.3,659.55,20
79,30 St & 4 Ave,4.325,174.1,18
80,31 Ave & 14 St,4.275,568.15,17
81,31 Ave & 34 St,4.3,736.8,21
82,31 Ave & 57 St,4.225,564.05,22
83,31 Ave & Crescent St,4.275,596.3,20
84,31 Ave & Steinway St,4.3,766.65,25
85,31 St & 21 Ave,4.15,603.95,27
86,31 St & Broadway,4.25,480.6,35
87,31 St & Hoyt Ave N,4.225,718.0,34
88,31 St & Newtown Ave,4.175,752.35,35
