,Station Name,Station Latitude,Station Longitude,Business Category,Business Name,Rating,Number of Reviews,Address,Contact
0,W 100 St & Manhattan Ave,40.795,-73.9645,Sardinian,Arco Cafe,4.5,352,886 Amsterdam Ave,(646) 781-9080
1,W 100 St & Manhattan Ave,40.795,-73.9645,Bars,The Calaveras,4.5,231,949 Columbus Ave,(646) 484-6533
2,W 100 St & Manhattan Ave,40.795,-73.9645,Vietnamese,Saiguette,4.5,729,935 Columbus Ave,(212) 866-6888
3,W 100 St & Manhattan Ave,40.795,-73.9645,Comfort Food,Jacob's Pickles,4.0,5403,509 Amsterdam Ave,(212) 470-5566
4,W 100 St & Manhattan Ave,40.795,-73.9645,Burgers,Bareburger - Upper West Side,3.5,393,795 Columbus Ave,(646) 559-2986
5,W 100 St & Manhattan Ave,40.795,-73.9645,French,Amelie,4.5,297,566 Amsterdam Ave,(646) 422-7167
6,W 100 St & Manhattan Ave,40.795,-73.9645,Noodles,The Tang - Upper West Side,4.5,302,920 Amsterdam Ave,(646) 596-7970
7,W 100 St & Manhattan Ave,40.795,-73.9645,Southern,Melba's Restaurant,4.0,1746,300 W 114th St,(212) 864-7777
8,W 100 St & Manhattan Ave,40.795,-73.9645,Breakfast & Brunch,The Grand Feast,5.0,19,854 Amsterdam Ave,(917) 409-0772
9,W 100 St & Manhattan Ave,40.795,-73.9645,Cocktail Bars,Nobody Told Me,4.5,236,951 Amsterdam Ave,(917) 409-0772
10,W 100 St & Manhattan Ave,40.795,-73.9645,Wine Bars,Da Capo,4.5,229,1392 Madison Ave,(646) 707-0684
11,W 100 St & Manhattan Ave,40.795,-73.9645,Bars,e's BAR,4.0,393,511 Amsterdam Ave,(212) 877-0961
12,W 100 St & Manhattan Ave,40.795,-73.9645,Japanese,Sushi W,4.5,168,2673 Broadway,(917) 318-9739
13,W 100 St & Manhattan Ave,40.795,-73.9645,Italian,Osteria 106,4.5,209,53 W 106 St,(646) 833-7614
14,W 100 St & Manhattan Ave,40.795,-73.9645,Vietnamese,Banh,4.5,223,942 Amsterdam Ave,(917) 639-3151
15,W 100 St & Manhattan Ave,40.795,-73.9645,Mexican,Casa Mexicana,4.0,222,894 Amsterdam Ave,(646) 922-8295
16,W 100 St & Manhattan Ave,40.795,-73.9645,Bars,Dagon,4.0,225,2454 Broadway,(212) 873-2466
17,W 100 St & Manhattan Ave,40.795,-73.9645,Chinese,Flor de Mayo,4.0,643,2651 Broadway,(212) 663-5520
18,W 100 St & Manhattan Ave,40.795,-73.9645,American (Traditional),The Ellington,4.5,139,2745 Broadway,(212) 281-3011
19,W 100 St & Manhattan Ave,40.795,-73.9645,Italian,Fumo- Upper West Side,4.0,238,2791 Broadway,(646) 822-2921
20,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Cocktail Bars,Tanner Smiths,4.5,2041,204 W 55th St,(646) 590-2034
21,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Burgers,Carnegie Diner,4.0,472,205 W 57th St,(212) 664-1001
22,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,French,La Grande Boucherie,4.5,2439,145 W 53rd St,(212) 510-7714
23,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Cocktail Bars,Vida Verde,4.5,1574,248 W 55th St,(646) 657-0565
24,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,American (New),Robert,4.0,1043,2 Columbus Cir,(212) 299-7730
25,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Pizza,Angelo's Coal Oven Pizzeria,4.0,1190,117 W 57th St,(212) 333-4333
26,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,American (New),Momofuku Noodle Bar - Uptown,4.0,585,10 Columbus Cir,(212) 333-4333
27,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Italian,Trattoria Dell'Arte,4.0,1196,900 7th Ave,(212) 245-9800
28,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,French,Quality Bistro,4.0,329,120 W 55th St,(212) 433-3330
29,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Greek,Loi Estiatorio,4.5,455,132 W 58th St,(212) 713-0015
30,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Steakhouses,Tuscany Steakhouse,4.5,232,117 W 58th St,(212) 757-8630
31,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Italian,Marea,4.0,2349,240 Central Park S,(212) 582-5100
32,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Szechuan,Blue Willow 夜来湘,4.5,949,40 W 56th St,(212) 213-2299
33,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Indian,Bengal Tiger Indian Food,4.5,2311,58 W 56th St,(212) 265-2703
34,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,French,Per Se,4.5,1871,10 Columbus Cir,(212) 823-9335
35,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Greek,Souvlaki GR Midtown ,4.0,794,162 W 56th St,(212) 974-7482
